,DNI,EDAD,DEPARTAMENTO,UNIVERSIDAD,SEXO,NIVEL DE ESTRES
,71847527,30,AREQUIPA,UCSM,MASCULINO,2
,71274989,20,LIMA,UPC,FEMENINO,1
,67440117,30,TRUJILLO,UNT,MASCULINO,3
,78739178,25,CUZCO,UAUSTRAL,FEMENINO,2
,64684407,23,LIMA,UNI,MASCULINO,4
,70946960,19,LIMA,PUCP,FEMENINO,1
,78922613,28,TRUJILLO,UPAO,FEMENINO,5
,73123042,30,TRUJILLO,UNT,FEMENINO,3
,66284637,23,LIMA,PUCP,FEMENINO,5
,70995105,20,LIMA,UNI,MASCULINO,2
,64012345,26,TRUJILLO,UNT,MASCULINO,5
,79207568,23,AREQUIPA,UCSM,MASCULINO,2
,62301446,17,PIURA,UPN,MASCULINO,2
,63510948,19,PIURA,UDEP,FEMENINO,5
,74238263,20,LIMA,UPC,FEMENINO,5
,77780804,22,TRUJILLO,UPAO,FEMENINO,2
,61526559,24,PIURA,UDEP,FEMENINO,5
,61029417,24,TRUJILLO,UNT,FEMENINO,3
,77692586,22,PIURA,UPN,FEMENINO,2
,73174251,30,LIMA,PUCP,MASCULINO,5
,73264372,21,HUANUCO,UNH,FEMENINO,2
,76011897,26,AREQUIPA,UNSA,FEMENINO,2
,71412982,27,PIURA,UPN,FEMENINO,5
,63501809,26,LIMA,PUCP,MASCULINO,4
,73306474,22,HUANUCO,UNH,MASCULINO,5
,67097064,29,LIMA,ULIMA,MASCULINO,3
,60596587,25,CUZCO,UAUSTRAL,MASCULINO,3
,77747809,27,AREQUIPA,UCSM,MASCULINO,5
,65835408,25,CUZCO,UAUSTRAL,MASCULINO,2
,61353569,29,TRUJILLO,UPAO,FEMENINO,4
,78517514,28,TRUJILLO,UNT,MASCULINO,4
,75202610,28,CUZCO,UNSAAC,FEMENINO,3
,69618452,19,LIMA,PUCP,FEMENINO,3
,74645448,29,AREQUIPA,UCSM,MASCULINO,3
,67088053,23,LIMA,UNI,FEMENINO,4
,77294510,30,LIMA,UNI,FEMENINO,4
,77858987,25,HUANUCO,UNHEVAL,FEMENINO,3
,64133086,30,PIURA,UDEP,FEMENINO,2
,66056580,21,PIURA,UDEP,FEMENINO,2
,75955702,24,LIMA,PUCP,MASCULINO,5
,66308980,21,AREQUIPA,UNSA,FEMENINO,2
,72512283,23,AREQUIPA,UCSM,FEMENINO,3
,61411247,19,CUZCO,UNSAAC,MASCULINO,1
,61973610,22,CUZCO,UAUSTRAL,MASCULINO,3
,78086316,25,CUZCO,UAUSTRAL,FEMENINO,2
,76856070,27,LIMA,UPC,MASCULINO,5
,72613127,26,CUZCO,UNSAAC,FEMENINO,1
,60291415,30,PIURA,UPN,MASCULINO,3
,76102611,26,HUANUCO,UNHEVAL,FEMENINO,2
,75091828,18,LIMA,UNI,FEMENINO,3
,65941343,28,LIMA,ULIMA,FEMENINO,3
,60858361,29,LIMA,UPC,FEMENINO,5
,63460613,21,AREQUIPA,UCSM,FEMENINO,4
,66310208,29,LIMA,UPC,FEMENINO,4
,68670512,22,LIMA,PUCP,MASCULINO,2
,68835448,22,LIMA,ULIMA,FEMENINO,1
,73960793,27,LIMA,UPC,MASCULINO,2
,77095836,24,HUANUCO,UNHEVAL,MASCULINO,3
,74435663,26,LIMA,ULIMA,MASCULINO,2
,71975996,23,CUZCO,UAUSTRAL,MASCULINO,5
,70825236,27,LIMA,UNI,FEMENINO,2
,66149827,29,PIURA,UPN,FEMENINO,4
,75488158,25,AREQUIPA,UCSM,FEMENINO,2
,76076465,17,HUANUCO,UNH,FEMENINO,4
,78405115,25,LIMA,PUCP,MASCULINO,1
,77509469,24,LIMA,ULIMA,FEMENINO,2
,68591637,17,LIMA,PUCP,MASCULINO,1
,66642310,23,CUZCO,UAUSTRAL,MASCULINO,2
,66387525,21,AREQUIPA,UNSA,FEMENINO,3
,63025194,26,LIMA,UNI,MASCULINO,2
,63623343,25,LIMA,PUCP,MASCULINO,5
,66741791,28,AREQUIPA,UCSM,MASCULINO,3
,70534556,17,LIMA,PUCP,FEMENINO,3
,77587975,29,CUZCO,UNSAAC,FEMENINO,1
,60474086,30,LIMA,PUCP,MASCULINO,2
,76997629,28,LIMA,ULIMA,FEMENINO,4
,73563763,20,LIMA,PUCP,FEMENINO,3
,60199178,26,LIMA,PUCP,MASCULINO,1
,64710485,20,CUZCO,UAUSTRAL,FEMENINO,5
,60474151,22,HUANUCO,UNHEVAL,MASCULINO,4
,75257606,20,LIMA,UNI,FEMENINO,3
,78493306,18,PIURA,UPN,MASCULINO,3
,62960249,27,TRUJILLO,UPAO,MASCULINO,2
,61600916,29,CUZCO,UNSAAC,MASCULINO,5
,76646002,23,TRUJILLO,UPAO,FEMENINO,5
,65655582,29,AREQUIPA,UNSA,FEMENINO,1
,61296999,25,LIMA,PUCP,MASCULINO,2
,79056146,23,LIMA,UNI,MASCULINO,4
,71071331,27,AREQUIPA,UNSA,FEMENINO,5
,66786682,23,LIMA,ULIMA,FEMENINO,1
,63978230,20,LIMA,UPC,MASCULINO,5
,73457856,28,AREQUIPA,UCSM,MASCULINO,3
,78902885,21,LIMA,UPC,MASCULINO,5
,60114935,28,CUZCO,UNSAAC,FEMENINO,2
,73586434,30,LIMA,PUCP,FEMENINO,1
,77715458,26,TRUJILLO,UPAO,MASCULINO,5
,78249619,25,PIURA,UDEP,FEMENINO,4
,61048482,28,PIURA,UDEP,FEMENINO,4
,63889937,17,LIMA,ULIMA,FEMENINO,2
,74794148,22,AREQUIPA,UNSA,FEMENINO,5
,79739139,19,LIMA,ULIMA,FEMENINO,4
,72061890,18,HUANUCO,UNHEVAL,FEMENINO,2
,64784079,28,TRUJILLO,UPAO,MASCULINO,3
,62072376,20,CUZCO,UNSAAC,MASCULINO,2
,79348267,20,AREQUIPA,UNSA,MASCULINO,2
,71889853,22,AREQUIPA,UCSM,FEMENINO,2
,63383124,18,CUZCO,UAUSTRAL,MASCULINO,4
,65874793,18,LIMA,PUCP,MASCULINO,2
,78165017,21,LIMA,ULIMA,MASCULINO,2
,74763961,28,PIURA,UDEP,FEMENINO,2
,64651218,22,LIMA,ULIMA,MASCULINO,4
,65344716,27,PIURA,UPN,FEMENINO,5
,63418278,18,AREQUIPA,UNSA,MASCULINO,2
,69601775,26,HUANUCO,UNH,FEMENINO,4
,77179801,20,LIMA,PUCP,MASCULINO,3
,77396809,30,CUZCO,UAUSTRAL,MASCULINO,4
,66433897,29,PIURA,UPN,MASCULINO,5
,71340310,17,TRUJILLO,UPAO,MASCULINO,5
,74624640,17,AREQUIPA,UNSA,FEMENINO,1
,66701564,23,LIMA,PUCP,MASCULINO,3
,74864679,27,AREQUIPA,UCSM,MASCULINO,4
,61517781,20,CUZCO,UNSAAC,FEMENINO,5
,74848269,17,LIMA,PUCP,FEMENINO,2
,74853840,26,AREQUIPA,UCSM,MASCULINO,4
,75179235,28,CUZCO,UNSAAC,MASCULINO,5
,74842643,21,AREQUIPA,UCSM,FEMENINO,4
,65465264,24,CUZCO,UAUSTRAL,MASCULINO,4
,60496506,22,LIMA,PUCP,FEMENINO,5
,68206263,18,LIMA,UNI,MASCULINO,2
,60574037,18,AREQUIPA,UCSM,FEMENINO,3
,60283118,26,PIURA,UPN,FEMENINO,2
,75634091,30,LIMA,ULIMA,FEMENINO,1
,75963278,28,TRUJILLO,UPAO,MASCULINO,3
,70741956,27,CUZCO,UNSAAC,FEMENINO,5
,68474443,25,AREQUIPA,UNSA,FEMENINO,4
,76369080,27,HUANUCO,UNH,MASCULINO,1
,68853940,19,AREQUIPA,UCSM,MASCULINO,5
,74909309,18,CUZCO,UAUSTRAL,MASCULINO,4
,76788971,20,AREQUIPA,UNSA,FEMENINO,2
,61260487,19,PIURA,UPN,FEMENINO,4
,76798864,18,LIMA,UNI,MASCULINO,4
,66317281,20,HUANUCO,UNHEVAL,MASCULINO,2
,61920746,19,HUANUCO,UNHEVAL,MASCULINO,5
,79326008,17,TRUJILLO,UPAO,MASCULINO,2
,78847064,20,TRUJILLO,UNT,FEMENINO,5
,67066368,18,LIMA,UNI,MASCULINO,4
,66521623,20,CUZCO,UNSAAC,FEMENINO,1
,75475881,20,TRUJILLO,UNT,FEMENINO,2
,79129282,22,CUZCO,UAUSTRAL,FEMENINO,4
,76029577,19,AREQUIPA,UCSM,FEMENINO,5
,74717968,19,LIMA,PUCP,MASCULINO,5
,73749838,18,HUANUCO,UNHEVAL,MASCULINO,2
,66332973,23,LIMA,UPC,MASCULINO,3
,74932824,30,HUANUCO,UNHEVAL,MASCULINO,3
,63585448,17,TRUJILLO,UPAO,MASCULINO,1
,73975136,30,AREQUIPA,UCSM,MASCULINO,5
,74861409,21,TRUJILLO,UPAO,FEMENINO,2
,78964759,26,HUANUCO,UNHEVAL,FEMENINO,2
,65610124,21,LIMA,ULIMA,FEMENINO,2
,60790572,24,TRUJILLO,UNT,FEMENINO,2
,66969824,23,LIMA,UNI,FEMENINO,1
,61531530,27,LIMA,ULIMA,FEMENINO,4
,71245392,29,CUZCO,UNSAAC,MASCULINO,3
,77015625,21,PIURA,UDEP,MASCULINO,3
,60259724,27,LIMA,UPC,FEMENINO,5
,62144241,20,CUZCO,UAUSTRAL,MASCULINO,2
,71377698,26,TRUJILLO,UNT,MASCULINO,3
,73716965,30,LIMA,ULIMA,MASCULINO,2
,66705494,24,PIURA,UPN,FEMENINO,4
,62669981,21,HUANUCO,UNH,FEMENINO,2
,72442662,25,HUANUCO,UNHEVAL,MASCULINO,3
,76231731,24,AREQUIPA,UNSA,FEMENINO,4
,67386306,29,LIMA,UNI,MASCULINO,2
,64039741,21,LIMA,UPC,FEMENINO,5
,77582094,20,PIURA,UPN,FEMENINO,1
,70985976,18,PIURA,UDEP,MASCULINO,4
,73453498,24,AREQUIPA,UNSA,MASCULINO,1
,71495685,20,PIURA,UDEP,MASCULINO,5
,79466396,25,CUZCO,UNSAAC,FEMENINO,5
,74467602,27,HUANUCO,UNHEVAL,FEMENINO,3
,70885491,19,AREQUIPA,UCSM,MASCULINO,4
,65049616,18,LIMA,UPC,MASCULINO,3
,72871264,29,LIMA,ULIMA,FEMENINO,2
,68276172,18,AREQUIPA,UNSA,MASCULINO,3
,63453568,29,LIMA,UNI,MASCULINO,1
,73800136,25,PIURA,UDEP,FEMENINO,2
,77751511,26,AREQUIPA,UNSA,MASCULINO,5
,62154069,28,TRUJILLO,UNT,MASCULINO,1
,61924149,30,HUANUCO,UNH,MASCULINO,3
,73705878,18,LIMA,UNI,MASCULINO,2
,64496969,21,LIMA,UPC,MASCULINO,2
,76347268,22,PIURA,UPN,MASCULINO,2
,62426475,21,LIMA,PUCP,MASCULINO,3
,69164585,26,LIMA,UPC,FEMENINO,1
,65927327,25,LIMA,UNI,FEMENINO,5
,63572651,24,LIMA,UNI,MASCULINO,3
,63107028,23,TRUJILLO,UPAO,FEMENINO,2
,67392313,21,LIMA,ULIMA,MASCULINO,3
,71298471,19,PIURA,UPN,MASCULINO,2
,75686317,25,LIMA,ULIMA,MASCULINO,2
,79458489,20,TRUJILLO,UPAO,FEMENINO,3
,63871134,27,LIMA,ULIMA,MASCULINO,5
,65927572,24,PIURA,UDEP,MASCULINO,1
,62154094,29,LIMA,ULIMA,MASCULINO,1
,74396083,30,AREQUIPA,UNSA,FEMENINO,4
,75116129,27,PIURA,UDEP,MASCULINO,4
,71552366,28,LIMA,PUCP,FEMENINO,5
,78086915,19,TRUJILLO,UPAO,MASCULINO,5
,68037064,17,AREQUIPA,UNSA,FEMENINO,1
,67909102,29,AREQUIPA,UNSA,MASCULINO,3
,61479256,18,PIURA,UPN,MASCULINO,3
,71551005,27,CUZCO,UNSAAC,MASCULINO,3
,66752312,24,LIMA,PUCP,MASCULINO,2
,70706366,22,LIMA,PUCP,MASCULINO,3
,74300904,22,PIURA,UPN,MASCULINO,4
,65782898,28,CUZCO,UNSAAC,MASCULINO,2
,77671576,30,CUZCO,UAUSTRAL,FEMENINO,5
,69427153,25,CUZCO,UAUSTRAL,MASCULINO,1
,69141200,22,TRUJILLO,UPAO,MASCULINO,4
,65834869,17,TRUJILLO,UPAO,FEMENINO,5
,75414333,25,TRUJILLO,UNT,MASCULINO,5
,77736580,17,LIMA,UNI,MASCULINO,5
,78857030,30,PIURA,UDEP,FEMENINO,4
,73370171,24,PIURA,UDEP,MASCULINO,5
,71990048,19,CUZCO,UNSAAC,FEMENINO,5
,70549351,24,HUANUCO,UNH,FEMENINO,1
,72534191,27,TRUJILLO,UNT,MASCULINO,1
,60301818,27,LIMA,UNI,FEMENINO,1
,71640908,20,LIMA,UPC,FEMENINO,3
,77127875,27,LIMA,UNI,FEMENINO,4
,71343698,18,TRUJILLO,UNT,FEMENINO,5
,66743341,30,LIMA,PUCP,FEMENINO,3
,65271587,26,LIMA,UNI,FEMENINO,4
,71018189,30,LIMA,ULIMA,FEMENINO,1
,67737881,29,AREQUIPA,UNSA,MASCULINO,3
,77848572,22,LIMA,UNI,MASCULINO,4
,65613163,30,TRUJILLO,UPAO,MASCULINO,4
,78289800,30,LIMA,PUCP,MASCULINO,2
,74547642,28,LIMA,ULIMA,FEMENINO,4
,60928924,29,LIMA,PUCP,FEMENINO,2
,63531171,23,LIMA,UPC,MASCULINO,4
,64118013,30,LIMA,UNI,FEMENINO,3
,70563779,20,LIMA,ULIMA,FEMENINO,5
,74798784,28,AREQUIPA,UCSM,MASCULINO,1
,67452203,19,LIMA,PUCP,FEMENINO,5
,67887246,27,PIURA,UDEP,MASCULINO,4
,62232342,30,AREQUIPA,UCSM,FEMENINO,5
,71007074,22,HUANUCO,UNH,MASCULINO,4
,63695206,22,PIURA,UDEP,MASCULINO,2
,78412200,22,TRUJILLO,UPAO,MASCULINO,5
,68267344,29,PIURA,UDEP,MASCULINO,2
,74067428,25,PIURA,UDEP,MASCULINO,4
,74738788,29,TRUJILLO,UNT,FEMENINO,4
,71825547,22,AREQUIPA,UNSA,MASCULINO,2
,64992067,17,LIMA,ULIMA,MASCULINO,1
,79130907,19,LIMA,PUCP,FEMENINO,1
,62832670,26,AREQUIPA,UCSM,MASCULINO,1
,68371105,20,TRUJILLO,UPAO,FEMENINO,1
,69688886,27,PIURA,UDEP,FEMENINO,5
,70997811,25,LIMA,ULIMA,MASCULINO,3
,61010760,24,HUANUCO,UNHEVAL,FEMENINO,5
,70300347,24,PIURA,UDEP,MASCULINO,4
,60259043,30,AREQUIPA,UNSA,FEMENINO,4
,78962129,17,LIMA,UPC,FEMENINO,5
,77560544,28,CUZCO,UAUSTRAL,MASCULINO,1
,64943335,29,TRUJILLO,UNT,MASCULINO,4
,71786545,19,CUZCO,UAUSTRAL,MASCULINO,1
,76222188,23,TRUJILLO,UPAO,MASCULINO,5
,74236980,20,TRUJILLO,UNT,FEMENINO,2
,65567635,26,LIMA,UPC,FEMENINO,2
,73413908,21,LIMA,ULIMA,FEMENINO,4
,78227373,18,LIMA,ULIMA,MASCULINO,1
,67098265,28,CUZCO,UAUSTRAL,FEMENINO,1
,78785649,29,PIURA,UPN,FEMENINO,5
,70841367,21,CUZCO,UNSAAC,FEMENINO,2
,68939157,24,HUANUCO,UNH,MASCULINO,2
,61837826,23,AREQUIPA,UCSM,FEMENINO,4
,65409959,24,TRUJILLO,UPAO,FEMENINO,2
,70504521,28,LIMA,UPC,FEMENINO,2
,69470784,17,AREQUIPA,UNSA,FEMENINO,2
,62601752,24,LIMA,UNI,MASCULINO,3
,71504682,23,LIMA,UNI,MASCULINO,1
,76545320,17,TRUJILLO,UPAO,MASCULINO,1
,64849160,27,LIMA,PUCP,MASCULINO,2
,66684075,17,LIMA,ULIMA,MASCULINO,2
,62075202,25,AREQUIPA,UNSA,MASCULINO,4
,68296364,28,AREQUIPA,UCSM,MASCULINO,5
,78400396,18,TRUJILLO,UNT,MASCULINO,5
,61386856,28,PIURA,UDEP,FEMENINO,1
,68757492,25,CUZCO,UNSAAC,FEMENINO,1
,66195083,26,CUZCO,UAUSTRAL,MASCULINO,1
,69167243,21,HUANUCO,UNHEVAL,MASCULINO,4
,66780024,18,LIMA,PUCP,MASCULINO,5
,68296326,29,CUZCO,UNSAAC,MASCULINO,4
,79602216,26,PIURA,UPN,MASCULINO,4
,73650800,20,LIMA,ULIMA,MASCULINO,3
,72033095,22,LIMA,PUCP,MASCULINO,5
,65652979,19,AREQUIPA,UNSA,FEMENINO,5
,78209910,19,PIURA,UPN,MASCULINO,3
,65835190,17,HUANUCO,UNHEVAL,FEMENINO,3
,76462645,29,LIMA,UPC,FEMENINO,5
,66131955,29,AREQUIPA,UCSM,FEMENINO,2
,79217299,26,TRUJILLO,UNT,MASCULINO,5
,77913818,17,TRUJILLO,UPAO,MASCULINO,2
,70290618,24,AREQUIPA,UNSA,FEMENINO,3
,67880358,24,CUZCO,UAUSTRAL,FEMENINO,2
,79161347,30,LIMA,UNI,MASCULINO,3
,60958071,24,AREQUIPA,UNSA,FEMENINO,5
,79172312,30,LIMA,UPC,MASCULINO,5
,68901987,28,AREQUIPA,UNSA,MASCULINO,3
,68802978,27,PIURA,UPN,MASCULINO,2
,65463171,30,AREQUIPA,UCSM,MASCULINO,3
,60849987,26,TRUJILLO,UPAO,FEMENINO,1
,63053566,17,CUZCO,UAUSTRAL,FEMENINO,2
,68820730,29,CUZCO,UAUSTRAL,FEMENINO,5
,65873949,30,TRUJILLO,UPAO,FEMENINO,3
,77191935,26,PIURA,UDEP,FEMENINO,3
,79095299,21,TRUJILLO,UPAO,FEMENINO,1
,78619524,24,AREQUIPA,UNSA,MASCULINO,2
,77485899,17,TRUJILLO,UNT,FEMENINO,2
,75446697,27,CUZCO,UNSAAC,FEMENINO,4
,62836233,30,HUANUCO,UNHEVAL,FEMENINO,2
,69311629,28,PIURA,UDEP,MASCULINO,2
,69030465,29,HUANUCO,UNH,MASCULINO,1
,66723141,22,AREQUIPA,UNSA,MASCULINO,2
,69327378,24,PIURA,UDEP,MASCULINO,3
,78863152,17,TRUJILLO,UNT,FEMENINO,2
,62542348,19,CUZCO,UAUSTRAL,FEMENINO,4
,75820349,17,AREQUIPA,UNSA,MASCULINO,2
,62470293,18,PIURA,UDEP,FEMENINO,3
,71853807,26,LIMA,UPC,MASCULINO,4
,66348475,25,LIMA,ULIMA,FEMENINO,1
,74062556,24,TRUJILLO,UNT,MASCULINO,5
,64954287,27,LIMA,ULIMA,MASCULINO,4
,68530346,17,AREQUIPA,UNSA,MASCULINO,2
,77154899,20,HUANUCO,UNH,MASCULINO,3
,68923632,20,LIMA,ULIMA,MASCULINO,4
,65029153,19,LIMA,ULIMA,MASCULINO,4
,69197026,24,LIMA,UNI,FEMENINO,2
,76047720,18,AREQUIPA,UCSM,MASCULINO,3
,74970578,21,CUZCO,UAUSTRAL,MASCULINO,5
,77143596,22,AREQUIPA,UCSM,MASCULINO,1
,62097689,19,LIMA,ULIMA,FEMENINO,4
,60768185,21,HUANUCO,UNH,FEMENINO,2
,66257041,26,CUZCO,UAUSTRAL,MASCULINO,2
,63521220,27,LIMA,PUCP,FEMENINO,1
,76679234,20,LIMA,ULIMA,MASCULINO,1
,71987814,25,LIMA,UNI,FEMENINO,2
,75628234,21,CUZCO,UAUSTRAL,FEMENINO,4
,69649828,27,AREQUIPA,UNSA,MASCULINO,3
,76368938,25,LIMA,PUCP,MASCULINO,5
,69580850,19,AREQUIPA,UCSM,FEMENINO,5
,68815853,18,LIMA,PUCP,FEMENINO,2
,65255847,27,PIURA,UDEP,FEMENINO,1
,68732367,20,LIMA,PUCP,FEMENINO,2
,64064033,21,LIMA,ULIMA,MASCULINO,5
,73254685,27,HUANUCO,UNH,MASCULINO,2
,64680754,17,HUANUCO,UNH,MASCULINO,3
,66239136,23,LIMA,UNI,MASCULINO,2
,77576758,20,LIMA,UNI,FEMENINO,2
,70299287,19,LIMA,UPC,MASCULINO,1
,77923328,18,LIMA,UPC,FEMENINO,3
,69323425,30,HUANUCO,UNHEVAL,FEMENINO,2
,77641177,27,HUANUCO,UNH,MASCULINO,5
,65184589,29,LIMA,PUCP,MASCULINO,4
,76748832,20,TRUJILLO,UNT,FEMENINO,1
,70179387,28,TRUJILLO,UPAO,MASCULINO,5
,73510938,19,AREQUIPA,UNSA,FEMENINO,2
,73481354,27,AREQUIPA,UNSA,MASCULINO,4
,79904348,25,TRUJILLO,UNT,FEMENINO,2
,77297557,21,TRUJILLO,UNT,FEMENINO,1
,61921842,19,HUANUCO,UNHEVAL,MASCULINO,1
,78046338,26,TRUJILLO,UPAO,MASCULINO,4
,74115234,26,HUANUCO,UNHEVAL,MASCULINO,1
,68217657,29,LIMA,UNI,FEMENINO,3
,70578631,23,CUZCO,UAUSTRAL,FEMENINO,5
,63606090,22,CUZCO,UAUSTRAL,MASCULINO,1
,66718897,17,TRUJILLO,UNT,MASCULINO,2
,67388179,25,LIMA,UPC,FEMENINO,3
,61326723,21,LIMA,UNI,MASCULINO,3
,73926375,22,LIMA,ULIMA,FEMENINO,3
,71878585,22,PIURA,UDEP,FEMENINO,5
,71735830,18,LIMA,UNI,FEMENINO,3
,61438873,27,LIMA,UNI,FEMENINO,4
,77310900,27,HUANUCO,UNH,FEMENINO,5
,69904408,23,PIURA,UPN,MASCULINO,2
,77425010,19,TRUJILLO,UPAO,MASCULINO,1
,75048570,18,CUZCO,UNSAAC,FEMENINO,2
,73990690,19,CUZCO,UNSAAC,FEMENINO,4
,78429813,30,AREQUIPA,UNSA,MASCULINO,5
,60721969,25,TRUJILLO,UNT,FEMENINO,4
,67010058,21,PIURA,UDEP,FEMENINO,4
,70023902,30,TRUJILLO,UPAO,FEMENINO,1
,65468420,22,CUZCO,UAUSTRAL,FEMENINO,4
,74198668,24,LIMA,UNI,MASCULINO,2
,77128027,18,CUZCO,UAUSTRAL,MASCULINO,3
,68100815,30,LIMA,UNI,FEMENINO,5
,64006283,25,AREQUIPA,UNSA,FEMENINO,4
,60375808,21,LIMA,PUCP,FEMENINO,2
,73993521,26,AREQUIPA,UNSA,MASCULINO,4
,78329068,21,LIMA,UPC,MASCULINO,2
,63869011,30,TRUJILLO,UNT,FEMENINO,2
,66088210,26,PIURA,UDEP,MASCULINO,3
,78523857,23,AREQUIPA,UCSM,MASCULINO,4
,75817455,21,LIMA,UNI,FEMENINO,5
,78308441,21,TRUJILLO,UPAO,FEMENINO,3
,72873140,24,CUZCO,UAUSTRAL,MASCULINO,1
,65416702,24,LIMA,PUCP,FEMENINO,4
,62586729,21,CUZCO,UAUSTRAL,FEMENINO,4
,60948428,18,LIMA,PUCP,FEMENINO,5
,69955089,24,HUANUCO,UNHEVAL,MASCULINO,4
,68448500,21,PIURA,UDEP,FEMENINO,2
,60015861,17,LIMA,PUCP,FEMENINO,4
,69258665,20,AREQUIPA,UNSA,FEMENINO,1
,64788566,23,CUZCO,UNSAAC,FEMENINO,1
,73198348,17,AREQUIPA,UNSA,FEMENINO,3
,66287879,21,LIMA,UPC,FEMENINO,5
,77363019,27,TRUJILLO,UNT,FEMENINO,4
,74529176,18,LIMA,UNI,MASCULINO,1
,65062238,29,HUANUCO,UNH,FEMENINO,1
,78585696,26,LIMA,ULIMA,FEMENINO,2
,72111171,26,LIMA,PUCP,FEMENINO,1
,61499059,23,LIMA,ULIMA,FEMENINO,2
,74743926,28,TRUJILLO,UNT,MASCULINO,2
,71211066,29,HUANUCO,UNHEVAL,FEMENINO,2
,68072514,20,LIMA,UPC,MASCULINO,2
,75895291,22,TRUJILLO,UNT,FEMENINO,3
,63630042,21,CUZCO,UNSAAC,FEMENINO,2
,79730474,23,LIMA,UNI,FEMENINO,1
,74381605,19,LIMA,PUCP,FEMENINO,3
,77469690,20,LIMA,PUCP,FEMENINO,4
,62614970,21,AREQUIPA,UNSA,FEMENINO,5
,64385955,30,AREQUIPA,UNSA,MASCULINO,5
,73052227,21,LIMA,UPC,MASCULINO,1
,60289040,19,HUANUCO,UNHEVAL,MASCULINO,3
,64009878,22,CUZCO,UNSAAC,FEMENINO,5
,63858717,19,TRUJILLO,UPAO,FEMENINO,3
,70334437,30,LIMA,PUCP,FEMENINO,3
,61735025,19,LIMA,PUCP,MASCULINO,1
,61147209,19,LIMA,UNI,MASCULINO,1
,65700067,17,LIMA,PUCP,MASCULINO,4
,78652010,28,HUANUCO,UNH,FEMENINO,2
,68519176,26,LIMA,UPC,FEMENINO,2
,70341246,29,LIMA,UPC,FEMENINO,3
,77377208,17,LIMA,UNI,MASCULINO,3
,72601519,22,AREQUIPA,UCSM,FEMENINO,3
